abajo,below
abanico,fan
abierto,open
abrazar,embrace
abrigo,overcoat
abrir,open
aca,her
acabar,finish
accion,action
acceptar,accept
acerca de,about
acercarse,approach
acompanar,accompany
aconsejar,advise
acordarse,remember
acostarse,go to bed
actual,current
acuerdo,agreement
adelante,ahead
ademais,besides
adentro,inside
adios,goodbye
adonde,where
aduana,customs
aeropuerto,airport
afeitar,shave
afuera,outside
agente,agent
agradable,pleasant
agradecer,to thank
agua,water
aguantar,to stand
aguja,needle
ahora,now
aire,airport
al,on
alcalde,mayor
alcoba,bedroom
aldea,village
alegrarse,to be glad
alegre,glad
algo,something
algodon,something
almacen,department store
almohado,pillow
almorzar,eat lunch
almuerzo,lunch
alquilar,rent
alto,tall
alumno,student
alli,there
amable,likeable
amar,to love
amigo,friend
amistad,friendship
ambos,both
amor,love
ancho,wide
